siniestro_id,rol_victima,vehiculo_victima,sexo_victima,rango_etario,gravedad
2016-0001,conductor,moto,masculino,entre 18 y 29,fatal
2016-0002,conductor,auto,masculino,60 y mayores,fatal
2016-0003,conductor,moto,masculino,entre 30 y 39,fatal
2016-0004,conductor,moto,masculino,entre 18 y 29,fatal
2016-0005,conductor,moto,masculino,entre 30 y 39,fatal
2016-0008,conductor,moto,masculino,entre 30 y 39,fatal
2016-0009,pasajero_acompañante,moto,masculino,entre 30 y 39,fatal
2016-0010,conductor,moto,masculino,entre 18 y 29,fatal
2016-0012,conductor,moto,masculino,entre 18 y 29,fatal
2016-0013,peaton,peaton,masculino,menos de 18,fatal
2016-0015,peaton,peaton,femenino,menos de 18,fatal
2016-0016,pasajero_acompañante,moto,femenino,entre 18 y 29,fatal
2016-0017,peaton,peaton,masculino,60 y mayores,fatal
2016-0019,peaton,peaton,femenino,60 y mayores,fatal
2016-0020,peaton,peaton,masculino,60 y mayores,fatal
2016-0021,conductor,auto,masculino,entre 30 y 39,fatal
2016-0022,pasajero_acompañante,moto,masculino,entre 40 y 49,fatal
2016-0025,pasajero_acompañante,auto,masculino,entre 30 y 39,fatal
2016-0026,conductor,auto,masculino,entre 30 y 39,fatal
2016-0027,pasajero_acompañante,auto,masculino,entre 30 y 39,fatal
2016-0028,peaton,peaton,masculino,entre 50 y 59,fatal
2016-0029,peaton,peaton,masculino,entre 30 y 39,fatal
2016-0031,conductor,moto,masculino,entre 18 y 29,fatal
2016-0034,peaton,peaton,masculino,entre 50 y 59,fatal
2016-0035,conductor,moto,masculino,entre 30 y 39,fatal
2016-0036,pasajero_acompañante,moto,masculino,entre 30 y 39,fatal
2016-0037,conductor,moto,masculino,entre 18 y 29,fatal
2016-0038,peaton,peaton,masculino,entre 30 y 39,fatal
2016-0039,conductor,moto,masculino,entre 18 y 29,fatal
2016-0041,conductor,moto,masculino,entre 50 y 59,fatal
2016-0041,pasajero_acompañante,moto,masculino,,fatal
2016-0043,peaton,peaton,femenino,entre 50 y 59,fatal
2016-0044,conductor,moto,masculino,entre 18 y 29,fatal
2016-0045,conductor,moto,masculino,,fatal
2016-0047,peaton,peaton,masculino,entre 40 y 49,fatal
2016-0048,peaton,peaton,femenino,,fatal
2016-0049,,,,,fatal
2016-0050,peaton,peaton,masculino,60 y mayores,fatal
2016-0051,conductor,moto,masculino,entre 30 y 39,fatal
2016-0052,,moto,,,fatal
2016-0053,peaton,peaton,masculino,entre 30 y 39,fatal
2016-0054,conductor,moto,masculino,entre 30 y 39,fatal
2016-0055,peaton,peaton,masculino,60 y mayores,fatal
2016-0056,conductor,moto,masculino,entre 18 y 29,fatal
2016-0058,peaton,peaton,femenino,entre 50 y 59,fatal
2016-0059,peaton,peaton,masculino,entre 30 y 39,fatal
2016-0064,peaton,peaton,masculino,entre 18 y 29,fatal
2016-0065,peaton,peaton,masculino,entre 18 y 29,fatal
2016-0067,pasajero_acompañante,moto,femenino,entre 30 y 39,fatal
2016-0068,conductor,moto,masculino,entre 50 y 59,fatal
2016-0069,conductor,auto,masculino,entre 30 y 39,fatal
2016-0073,conductor,moto,masculino,entre 18 y 29,fatal
2016-0074,conductor,auto,masculino,60 y mayores,fatal
2016-0075,peaton,peaton,masculino,entre 40 y 49,fatal
2016-0076,peaton,peaton,femenino,entre 50 y 59,fatal
2016-0077,peaton,peaton,femenino,,fatal
2016-0078,conductor,moto,masculino,entre 30 y 39,fatal
