siniestro_id,rol_victima,vehiculo_victima,sexo_victima,rango_etario,gravedad
lc-2019-0000053,,,masculino,entre 50 y 59,leve
lc-2019-0000063,,,,,leve
lc-2019-0000079,,,masculino,,leve
lc-2019-0000082,,,masculino,entre 40 y 49,leve
lc-2019-0000082,,,femenino,entre 40 y 49,leve
lc-2019-0000082,,,masculino,entre 18 y 29,leve
lc-2019-0000082,,,femenino,entre 30 y 39,leve
lc-2019-0000136,,,masculino,entre 18 y 29,leve
lc-2019-0000136,,,femenino,entre 18 y 29,leve
lc-2019-0000142,,,masculino,entre 30 y 39,leve
lc-2019-0000179,,,,,leve
lc-2019-0000194,,,femenino,entre 30 y 39,leve
lc-2019-0000202,,,masculino,entre 18 y 29,leve
lc-2019-0000329,,,masculino,entre 18 y 29,leve
lc-2019-0000347,,,masculino,,leve
lc-2019-0000445,,,masculino,entre 40 y 49,leve
lc-2019-0000445,,,femenino,entre 40 y 49,leve
lc-2019-0000445,,,masculino,entre 30 y 39,leve
lc-2019-0000493,,,masculino,entre 50 y 59,leve
lc-2019-0000600,,,femenino,menos de 18,leve
lc-2019-0000636,,,femenino,60 y mayores,leve
lc-2019-0000647,,,masculino,,leve
lc-2019-0000686,,,femenino,60 y mayores,leve
lc-2019-0005235,,,femenino,60 y mayores,leve
lc-2019-0000928,,,femenino,entre 40 y 49,leve
lc-2019-0000963,,,femenino,entre 40 y 49,leve
lc-2019-0000963,,,masculino,entre 40 y 49,leve
lc-2019-0000963,,,femenino,entre 18 y 29,leve
lc-2019-0000963,,,femenino,menos de 18,leve
lc-2019-0000963,,,femenino,entre 30 y 39,leve
lc-2019-0001754,,,femenino,entre 50 y 59,leve
lc-2019-0001879,,,,,leve
lc-2019-0001948,,,masculino,,leve
lc-2019-0547054,,,masculino,entre 18 y 29,leve
lc-2019-0001992,,,masculino,entre 30 y 39,leve
lc-2019-0002083,,,masculino,entre 18 y 29,leve
lc-2019-0002208,,,masculino,entre 30 y 39,leve
lc-2019-0002218,,,masculino,entre 50 y 59,leve
lc-2019-0002740,,,masculino,entre 40 y 49,leve
lc-2019-0003220,,,femenino,entre 18 y 29,leve
lc-2019-0003220,,,masculino,entre 18 y 29,leve
lc-2019-0003340,,,,,leve
lc-2019-0005610,,,masculino,60 y mayores,leve
lc-2019-0020183,,,masculino,entre 50 y 59,leve
lc-2019-0022496,,,masculino,60 y mayores,leve
lc-2019-0003428,,,masculino,entre 40 y 49,leve
lc-2019-0816662,,,masculino,entre 18 y 29,leve
lc-2019-0025711,,,masculino,entre 30 y 39,leve
lc-2019-0003642,,,masculino,entre 50 y 59,leve
lc-2019-0003787,,,masculino,entre 40 y 49,leve
lc-2019-0003862,,,femenino,entre 30 y 39,leve
lc-2019-0003862,,,masculino,entre 30 y 39,leve
lc-2019-0003884,,,femenino,,leve
lc-2019-0004144,,,masculino,menos de 18,leve
lc-2019-0004229,,,femenino,entre 40 y 49,leve
lc-2019-0004442,,,femenino,entre 30 y 39,leve
lc-2019-0004442,,,masculino,entre 30 y 39,leve
lc-2019-0004565,,,femenino,,leve
lc-2019-0004621,,,masculino,,leve
lc-2019-0004622,,,femenino,,leve
lc-2019-0004652,,,masculino,entre 18 y 29,leve
lc-2019-0004717,,,masculino,entre 40 y 49,leve
lc-2019-0004718,,,masculino,entre 50 y 59,leve
lc-2019-0005334,,,masculino,entre 30 y 39,leve
lc-2019-0005614,,,masculino,entre 40 y 49,leve
lc-2019-0005622,,,femenino,60 y mayores,leve
lc-2019-0005638,,,masculino,entre 30 y 39,leve
lc-2019-0005638,,,femenino,entre 30 y 39,leve
lc-2019-0005647,,,masculino,entre 40 y 49,leve
lc-2019-0005681,,,femenino,,leve
lc-2019-0005764,,,masculino,60 y mayores,leve
lc-2019-0005815,,,masculino,entre 18 y 29,leve
lc-2019-0005979,,,masculino,entre 18 y 29,leve
lc-2019-0654194,,,masculino,entre 30 y 39,leve
lc-2019-0006068,,,femenino,entre 18 y 29,leve
lc-2019-0006306,,,masculino,,leve
lc-2019-0006547,,,masculino,entre 30 y 39,leve
lc-2019-0006638,,,masculino,entre 30 y 39,leve
lc-2019-0006638,,,masculino,entre 30 y 39,leve
lc-2019-0006659,,,masculino,entre 40 y 49,leve
lc-2019-0006789,,,femenino,menos de 18,leve
lc-2019-0006837,,,femenino,,leve
lc-2019-0006857,,,femenino,,leve
lc-2019-0007002,,,masculino,,leve
lc-2019-0007021,,,masculino,entre 30 y 39,leve
lc-2019-0007294,,,masculino,entre 40 y 49,leve
lc-2019-0007336,,,masculino,,leve
lc-2019-0007536,,,femenino,entre 18 y 29,leve
lc-2019-0007634,,,masculino,,leve
lc-2019-0007660,,,masculino,entre 18 y 29,leve
lc-2019-0007701,,,masculino,entre 30 y 39,leve
lc-2019-0007778,,,femenino,entre 50 y 59,leve
lc-2019-0008077,,,femenino,entre 40 y 49,leve
lc-2019-0008227,,,femenino,entre 18 y 29,leve
lc-2019-0008238,,,femenino,60 y mayores,leve
lc-2019-0008238,,,femenino,60 y mayores,leve
lc-2019-0008283,,,masculino,entre 18 y 29,leve
lc-2019-0008283,,,femenino,entre 18 y 29,leve
lc-2019-0008314,,,femenino,entre 50 y 59,leve
lc-2019-0008367,,,masculino,entre 40 y 49,leve
lc-2019-0008388,,,femenino,,leve
lc-2019-0008388,,,femenino,,leve
lc-2019-0008388,,,femenino,entre 30 y 39,leve
lc-2019-0008467,,,masculino,entre 30 y 39,leve
lc-2019-0008493,,,femenino,entre 30 y 39,leve
lc-2019-0008496,,,masculino,,leve
lc-2019-0008565,,,masculino,entre 30 y 39,leve
lc-2019-0008566,,,masculino,entre 18 y 29,leve
lc-2019-0011897,,,femenino,entre 30 y 39,leve
lc-2019-0017883,,,masculino,entre 50 y 59,leve
lc-2019-0020135,,,masculino,entre 18 y 29,leve
lc-2019-0020930,,,masculino,entre 18 y 29,leve
lc-2019-0267364,,,masculino,entre 40 y 49,leve
lc-2019-0314341,,,masculino,entre 50 y 59,leve
lc-2019-0008603,,,masculino,entre 40 y 49,leve
lc-2019-0008860,,,masculino,60 y mayores,leve
lc-2019-0008860,,,masculino,60 y mayores,leve
lc-2019-0008860,,,masculino,entre 40 y 49,leve
lc-2019-0008916,,,masculino,entre 30 y 39,leve
lc-2019-0008924,,,masculino,,leve
lc-2019-0008974,,,femenino,entre 30 y 39,leve
lc-2019-0009068,,,masculino,entre 50 y 59,leve
lc-2019-0009123,,,masculino,entre 50 y 59,leve
lc-2019-0009194,,,masculino,entre 30 y 39,leve
lc-2019-0009305,,,masculino,entre 40 y 49,leve
lc-2019-0009312,,,femenino,60 y mayores,leve
lc-2019-0009325,,,masculino,60 y mayores,leve
lc-2019-0009392,,,femenino,entre 40 y 49,leve
lc-2019-0009580,,,femenino,menos de 18,leve
lc-2019-0009722,,,femenino,entre 30 y 39,leve
lc-2019-0025772,,,masculino,,leve
lc-2019-0010031,,,masculino,entre 18 y 29,leve
lc-2019-0010621,,,femenino,menos de 18,leve
lc-2019-0012840,,,femenino,60 y mayores,leve
lc-2019-0052387,,,masculino,entre 18 y 29,leve
lc-2019-0010050,,,masculino,entre 18 y 29,leve
lc-2019-0010105,,,masculino,entre 18 y 29,leve
lc-2019-0010145,,,femenino,entre 30 y 39,leve
lc-2019-0010228,,,masculino,menos de 18,leve
lc-2019-0010301,,,masculino,menos de 18,leve
lc-2019-0010436,,,masculino,menos de 18,leve
lc-2019-0010436,,,masculino,menos de 18,leve
lc-2019-0010649,,,masculino,menos de 18,leve
lc-2019-0010661,,,masculino,menos de 18,leve
lc-2019-0010730,,,femenino,menos de 18,leve
lc-2019-0010814,,,masculino,menos de 18,leve
lc-2019-0010884,,,masculino,menos de 18,leve
lc-2019-0010884,,,femenino,menos de 18,leve
lc-2019-0010983,,,femenino,entre 40 y 49,leve
lc-2019-0010983,,,femenino,entre 40 y 49,leve
lc-2019-0011004,,,masculino,60 y mayores,leve
lc-2019-0011053,,,masculino,entre 30 y 39,leve
lc-2019-0011092,,,masculino,60 y mayores,leve
lc-2019-0011335,,,masculino,entre 18 y 29,leve
lc-2019-0011431,,,masculino,60 y mayores,leve
lc-2019-0153972,,,masculino,entre 50 y 59,leve
lc-2019-0011575,,,masculino,entre 18 y 29,leve
lc-2019-0153972,,,masculino,,leve
lc-2019-0011908,,,masculino,menos de 18,leve
lc-2019-0012172,,,masculino,entre 18 y 29,leve
lc-2019-0012293,,,masculino,entre 18 y 29,leve
lc-2019-0012508,,,masculino,entre 18 y 29,leve
lc-2019-0012578,,,femenino,60 y mayores,leve
lc-2019-0012580,,,masculino,entre 30 y 39,leve
lc-2019-0012638,,,masculino,entre 30 y 39,leve
lc-2019-0082237,,,masculino,entre 30 y 39,leve
lc-2019-0012823,,,masculino,entre 18 y 29,leve
lc-2019-0013193,,,masculino,entre 18 y 29,leve
lc-2019-0013235,,,masculino,entre 40 y 49,leve
lc-2019-0463737,,,masculino,entre 30 y 39,leve
lc-2019-0013370,,,masculino,entre 30 y 39,leve
lc-2019-0013412,,,femenino,menos de 18,leve
lc-2019-0013412,,,masculino,menos de 18,leve
lc-2019-0013440,,,femenino,entre 50 y 59,leve
lc-2019-0013452,,,masculino,entre 40 y 49,leve
lc-2019-0013589,,,masculino,60 y mayores,leve
lc-2019-0013652,,,femenino,entre 30 y 39,leve
lc-2019-0013652,,,femenino,entre 30 y 39,leve
lc-2019-0013652,,,femenino,menos de 18,leve
lc-2019-0013652,,,masculino,entre 18 y 29,leve
lc-2019-0013857,,,masculino,menos de 18,leve
lc-2019-0013857,,,femenino,menos de 18,leve
lc-2019-0015962,,,masculino,menos de 18,leve
lc-2019-0021745,,,masculino,60 y mayores,leve
lc-2019-0013801,,,masculino,entre 40 y 49,leve
lc-2019-0013840,,,masculino,entre 18 y 29,leve
lc-2019-0013850,,,femenino,entre 30 y 39,leve
lc-2019-0014140,,,masculino,menos de 18,leve
lc-2019-0014220,,,masculino,entre 30 y 39,leve
lc-2019-0014314,,,masculino,entre 40 y 49,leve
lc-2019-0014442,,,masculino,60 y mayores,leve
lc-2019-0014448,,,masculino,60 y mayores,leve
lc-2019-0014503,,,masculino,60 y mayores,leve
lc-2019-0014534,,,,entre 18 y 29,leve
lc-2019-0014580,,,masculino,entre 18 y 29,leve
lc-2019-0014644,,,masculino,entre 30 y 39,leve
lc-2019-0014644,,,masculino,entre 30 y 39,leve
lc-2019-0014787,,,femenino,entre 30 y 39,leve
lc-2019-0014790,,,masculino,entre 30 y 39,leve
lc-2019-0014956,,,masculino,entre 30 y 39,leve
lc-2019-0015085,,,masculino,entre 40 y 49,leve
lc-2019-0015193,,,masculino,60 y mayores,leve
lc-2019-0015241,,,femenino,60 y mayores,leve
lc-2019-0015361,,,masculino,entre 30 y 39,leve
lc-2019-0015585,,,masculino,entre 30 y 39,leve
lc-2019-0015614,,,femenino,entre 30 y 39,leve
lc-2019-0006068,,,masculino,entre 18 y 29,leve
lc-2019-0015700,,,masculino,entre 30 y 39,leve
lc-2019-0015822,,,masculino,menos de 18,leve
lc-2019-0015879,,,,menos de 18,leve
lc-2019-0016012,,,femenino,menos de 18,leve
lc-2019-0016105,,,masculino,entre 40 y 49,leve
lc-2019-0016278,,,masculino,entre 40 y 49,leve
lc-2019-0016388,,,masculino,,leve
lc-2019-0016388,,,femenino,,leve
lc-2019-0016581,,,masculino,entre 50 y 59,leve
lc-2019-0016613,,,masculino,entre 40 y 49,leve
lc-2019-0017068,,,masculino,entre 50 y 59,leve
lc-2019-0017068,,,femenino,entre 50 y 59,leve
lc-2019-0017068,,,femenino,entre 40 y 49,leve
lc-2019-0017068,,,femenino,entre 18 y 29,leve
lc-2019-0017182,,,masculino,entre 30 y 39,leve
lc-2019-0017186,,,masculino,entre 18 y 29,leve
lc-2019-0017460,,,masculino,entre 30 y 39,leve
lc-2019-0017504,,,masculino,,leve
lc-2019-0017514,,,masculino,60 y mayores,leve
lc-2019-0017514,,,masculino,60 y mayores,leve
lc-2019-0017561,,,masculino,entre 30 y 39,leve
lc-2019-0018006,,,masculino,entre 18 y 29,leve
lc-2019-0018207,,,femenino,entre 30 y 39,leve
lc-2019-0018425,,,masculino,entre 30 y 39,leve
lc-2019-0018474,,,masculino,entre 50 y 59,leve
lc-2019-0018500,,,masculino,entre 30 y 39,leve
lc-2019-0018518,,,masculino,entre 40 y 49,leve
lc-2019-0018592,,,femenino,,leve
lc-2019-0018630,,,femenino,,leve
lc-2019-0018751,,,masculino,entre 40 y 49,leve
lc-2019-0021352,,,masculino,entre 18 y 29,leve
lc-2019-0022439,,,masculino,entre 40 y 49,leve
lc-2019-0030754,,,masculino,entre 30 y 39,leve
lc-2019-0031883,,,femenino,entre 50 y 59,leve
lc-2019-0018873,,,masculino,entre 50 y 59,leve
lc-2019-0019243,,,masculino,entre 30 y 39,leve
lc-2019-0020257,,,femenino,entre 40 y 49,leve
lc-2019-0020260,,,masculino,entre 18 y 29,leve
lc-2019-0020420,,,,,leve
lc-2019-0020451,,,masculino,entre 50 y 59,leve
